ObjID,ra,dec,u,g,r,i,z
1237666299433517976,299.9702554,-0.99844571,24.49445,23.514217,21.406038,20.106604,19.306562
1237666299433517978,299.97033495,-0.99461675,23.2187,22.912846,21.21026,20.328157,20.207952
1237666299433517980,299.96799035,-0.99719525,25.032633,25.458168,22.243389,20.850342,20.397009
1237666299433517981,299.97383873,-0.98741437,25.126446,23.311041,21.205114,20.651873,20.06246
1237666299433517985,299.96831838,-0.99884828,25.246256,25.92227,24.904512,24.892529,20.667337
1237666299433519507,299.97473109,-1.01448906,25.972656,23.683237,21.848053,20.332119,19.719683
1237666299433520936,299.97048417,-1.00870994,22.091074,22.026167,20.857235,20.755138,20.403038
1237666299433520942,299.97142382,-1.00504209,22.013031,20.746807,19.515228,18.735329,18.093552
1237666299433520943,299.97174159,-1.0064512,23.487103,23.559072,21.89677,20.296911,19.551046
1237666299433520948,299.9716238,-1.01338209,22.771179,20.344374,19.532623,19.286499,18.997206
1237666299433520949,299.97049157,-1.01498216,23.5355,20.682028,19.788689,19.467094,19.23975
1237666299433520954,299.97369001,-0.9833014,23.344309,21.377695,19.905054,19.262737,18.744719
1237666299433520955,299.97473841,-0.98201172,25.698906,24.460182,24.853466,21.668791,21.374788
1237666299433521439,299.96795797,-1.00176802,22.94869,23.305016,21.59697,21.187675,20.676517
1237666299433521440,299.96879702,-1.00279461,25.463753,24.238337,22.530525,21.846798,21.477987
1237666299433521697,299.97277565,-1.01057272,24.549021,24.50713,22.442593,21.471048,20.832911
1237666299433582886,299.99902793,-1.02858428,22.044743,20.537384,19.855957,19.506029,19.435638
1237666299433582891,299.99946776,-1.02951318,25.89806,25.753456,22.837839,20.762234,19.992723
1237666299433582941,300.00813647,-1.03227102,21.24547,19.826515,19.116922,18.778812,18.702318
1237666299433582945,300.01067206,-1.03081272,24.019514,25.021076,23.062586,22.890463,20.706535
1237666299433582947,300.0076155,-1.03074819,26.133406,24.229446,22.447433,21.8463,21.831482
1237666299433582950,300.00815211,-0.96961176,18.043039,16.637938,16.063103,15.753208,15.668886
1237666299433582954,300.0078302,-0.97133036,25.513332,22.47858,21.504566,20.925182,21.148243
1237666299433583058,300.02027897,-1.02245879,17.729958,16.220442,15.595737,15.275528,15.187657
1237666299433583059,300.02047557,-1.02609201,17.952311,16.450829,15.796476,15.446724,15.33224
1237666299433583060,300.02180549,-1.02182385,18.939375,17.188848,16.486538,16.151075,16.035345
1237666299433583061,300.01886769,-1.02345457,20.281765,18.797104,18.159748,17.821774,17.697405
1237666299433583062,300.0178096,-1.0250063,23.479088,21.029337,20.273689,19.830597,19.906868
1237666299433583064,300.01743354,-1.02659155,23.120344,25.081038,21.929411,20.34321,19.569519
